CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
1001547,'BRAND','Baccarat',3
1001547,'BRAND','Bernardaud',4
1001547,'BRAND','Waterford',5
1001547,'BRAND','Lalique',6
1001547,'BRAND','kate spade new york',7
1001547,'BRAND','Juliska',8
1001547,'BRAND','Kosta Boda',9
1001547,'BRAND','William Yeoward',10
1001547,'BRAND','Villeroy & Boch',11
1001547,'BRAND','Christofle',12
1001548,'BRAND','Arlotta',1
1001548,'BRAND','Hudson Park',2
1001548,'BRAND','Matouk',3
1001548,'BRAND','Sferra,4
1001548,'BRAND','Waterford',5
1001548,'BRAND','JR by John Robshaw',6
1001548,'BRAND','Ralph Lauren',7
1001548,'BRAND','Sky',8
1001548,'BRAND','Donna Karan',9
1001548,'BRAND','Blissliving Home',10
1001548,'BRAND','Vera Wang',11
1001548,'BRAND','Charisma',12
1001549,'BRAND','Michael Aram',1
1001549,'BRAND','Nambé' ,2
1001549,'BRAND','Baccarat',3
1001549,'BRAND','Bernardaud',4
1001549,'BRAND','Waterford',5
1001549,'BRAND','Lalique',6
1001549,'BRAND','kate spade new york',7
1001549,'BRAND','Juliska',8
1001549,'BRAND','Kosta Boda',9
1001549,'BRAND','William Yeoward',10
1001549,'BRAND','Villeroy & Boch',11
1001549,'BRAND','Christofle',12
23489,'BRAND','Tumi',1
23489,'BRAND','Rimowa',2
23489,'BRAND','Victorinox',3
23489,'BRAND','Hartmann',4
23489,'BRAND','Delsey',5
23489,'BRAND','Bric's',6
23489,'BRAND','Briggs & Riley',7
23489,'BRAND','Samsonite Black Label',8
23489,'BRAND','MCM',9
23489,'BRAND','Road Warrior',10
23489,'BRAND','Biaggi',11
23489,'BRAND','T-Tech by Tumi,12
23490,'BRAND','Tumi',1
23490,'BRAND','Rimowa',2
23490,'BRAND','Victorinox',3
23490,'BRAND','Hartmann',4
23490,'BRAND','Delsey',5
23490,'BRAND','Bric's',6
23490,'BRAND','Briggs & Riley',7
23490,'BRAND','Samsonite Black Label',8
23490,'BRAND','MCM',9
23490,'BRAND','Road Warrior',10
23490,'BRAND','Biaggi',11
23490,'BRAND','T-Tech by Tumi,12
23491,'BRAND','Tumi',1
23491,'BRAND','Rimowa',2
23491,'BRAND','Victorinox',3
23491,'BRAND','Hartmann',4
23491,'BRAND','Delsey',5
23491,'BRAND','Bric's',6
23491,'BRAND','Briggs & Riley',7
23491,'BRAND','Samsonite Black Label',8
23491,'BRAND','MCM',9
23491,'BRAND','Road Warrior',10
23491,'BRAND','Biaggi',11
23491,'BRAND','T-Tech by Tumi,12
23492,'BRAND','Tumi',1
23492,'BRAND','Rimowa',2
23492,'BRAND','Victorinox',3
23492,'BRAND','Hartmann',4
23492,'BRAND','Delsey',5
23492,'BRAND','Bric's',6
23492,'BRAND','Briggs & Riley',7
23492,'BRAND','Samsonite Black Label',8
23492,'BRAND','MCM',9
23492,'BRAND','Road Warrior',10
23492,'BRAND','Biaggi',11
23492,'BRAND','T-Tech by Tumi,12
23501,'BRAND','Tumi',1
23501,'BRAND','Rimowa',2
23501,'BRAND','Victorinox',3
23501,'BRAND','Hartmann',4
23501,'BRAND','Delsey',5
23501,'BRAND','Bric's',6
23501,'BRAND','Briggs & Riley',7
23501,'BRAND','Samsonite Black Label',8
23501,'BRAND','MCM',9
23501,'BRAND','Road Warrior',10
23501,'BRAND','Biaggi',11
23501,'BRAND','T-Tech by Tumi,12
23502,'BRAND','Tumi',1
23502,'BRAND','Rimowa',2
23502,'BRAND','Victorinox',3
23502,'BRAND','Hartmann',4
23502,'BRAND','Delsey',5
23502,'BRAND','Bric's',6
23502,'BRAND','Briggs & Riley',7
23502,'BRAND','Samsonite Black Label',8
23502,'BRAND','MCM',9
23502,'BRAND','Road Warrior',10
23502,'BRAND','Biaggi',11
23502,'BRAND','T-Tech by Tumi,12
23504,'BRAND','Tumi',1
23504,'BRAND','Rimowa',2
23504,'BRAND','Victorinox',3
23504,'BRAND','Hartmann',4
23504,'BRAND','Delsey',5
23504,'BRAND','Bric's',6
23504,'BRAND','Briggs & Riley',7
23504,'BRAND','Samsonite Black Label',8
23504,'BRAND','MCM',9
23504,'BRAND','Road Warrior',10
23504,'BRAND','Biaggi',11
23504,'BRAND','T-Tech by Tumi,12
5566,'BRAND','Calvin Klein Underwear',1
5566,'BRAND','Chantelle',2
5566,'BRAND','L'Agent by Agent Provocateur',3
5566,'BRAND','Cosabella',4
5566,'BRAND','Hanky Panky',5
5566,'BRAND','Le Mystere',6
5566,'BRAND','Natori',7
5566,'BRAND','SPANX®',8
5566,'BRAND','Wacoal',9
5566,'BRAND','Yummie Tummie',10
17613,'BRAND','Calvin Klein Underwear',1
17613,'BRAND','Chantelle',2
17613,'BRAND','L'Agent by Agent Provocateur',3
17613,'BRAND','Cosabella',4
17613,'BRAND','Hanky Panky',5
17613,'BRAND','Le Mystere',6
17613,'BRAND','Natori',7
17613,'BRAND','SPANX®',8
17613,'BRAND','Wacoal',9
17613,'BRAND','Yummie Tummie',10
22314,'BRAND','HUE',1
22314,'BRAND','Wolford',2
22314,'BRAND','SPANX®',3
22314,'BRAND','kate spade new york',4
22314,'BRAND','Pretty Polly',5
22314,'BRAND','Happy Socks',6
22314,'BRAND','DKNY',7
22314,'BRAND','Donna Karan Hosiery',8
22314,'BRAND','Falke',9
22314,'BRAND','Ralph Lauren',10
22316,'BRAND','HUE',1
22316,'BRAND','Wolford',2
22316,'BRAND','SPANX®',3
22316,'BRAND','kate spade new york',4
22316,'BRAND','Pretty Polly',5
22316,'BRAND','Happy Socks',6
22316,'BRAND','DKNY',7
22316,'BRAND','Donna Karan Hosiery',8
22316,'BRAND','Falke',9
22316,'BRAND','Ralph Lauren',10
3637,'BRAND','HUE',1
3637,'BRAND','Wolford',2
3637,'BRAND','SPANX®',3
3637,'BRAND','kate spade new york',4
3637,'BRAND','Pretty Polly',5
3637,'BRAND','Happy Socks',6
3637,'BRAND','DKNY',7
3637,'BRAND','Donna Karan Hosiery',8
3637,'BRAND','Falke',9
3637,'BRAND','Ralph Lauren',10
21429,'BRAND','Eileen West',1
21429,'BRAND','Carole Hochman',2
21429,'BRAND','Natori',3
21429,'BRAND','Oscar de la Renta Pink Label',4
21429,'BRAND','Oscar de la Renta Signature',5
21429,'BRAND','Ralph Lauren',6
21429,'BRAND','DKNY',7
21429,'BRAND','Hanro',8
21429,'BRAND','Flora Nikrooz',9
21429,'BRAND','Midnight by Carole Hochman',10
21434,'BRAND','Eberjey',1
21434,'BRAND','PJ Salvage',2
21434,'BRAND','Calvin Klein Underwear',3
21434,'BRAND','Juicy Couture',4
21434,'BRAND','Splendid Intimates',5
21434,'BRAND','Underella by Ella Moss',6
21434,'BRAND','UGG® Australia',7
21434,'BRAND','Josie',8
21434,'BRAND','Kensie',9
21434,'BRAND','In Bloom by Jonquil',10
8701,'BRAND','Alex and Ani',1
